IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
0,0,176.8,193.4
85.9,195.7,1085.1,397.8
135,319.7,1462.3,503.6
141.9,694.9,1596.2,479.2
67.7,471,1959.3,405.5
31.7,531.9,2087.1,406.6
12.7,560.5,2282.3,403.6
4.2,396.3,2566.3,411.4
7.8,502.1,2843.3,237.9
0,665.4,2230.5,143
0,79,506.4,38.7
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,571.1,295.3
0,0,1081.9,496.4
0,0,1334.8,501.4
0,0,1822.6,505.2
0,0,1964.4,507.9
7.3,0,1681.1,508.2
42.7,0,1395.9,504.1
56,0,1306.8,502.2
52,0,1226.6,501.7
64.1,0,892.1,511.2
25.8,0,416.2,202.3
4.6,0,243.9,53.8
0,0,65.7,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,573.4,196.2
25.3,0,1489.4,195.4
41.9,0,2061.6,389
58.5,0,2014.6,316.1
36.1,0,2001.2,304.8
61,0,1779.1,233.5
46.8,90.7,1386.2,296.3
10.2,118,1689.2,298.5
16.6,0,1454.9,212.5
14.5,96.2,1171.4,202.3
0.5,20.8,496.2,93.4
0,0,0,0
